"method","ticker","weight"
"Sample","ETIHX",0.32229258585017
"Sample","VHCIX",-0.269554033077771
"Sample","CHGCY",-0.216302733177181
"Sample","TAK",0.0356439800866203
"Sample","D",0.139116628269657
"Sample","EIX",0.0200118079625864
"Sample","AES",-0.0356574604672159
"Sample","NRG",0.104844938669953
"Sample","AMD",-0.119808358851764
"Sample","AVGO",0.368157815369814
"Sample","TXN",0.145472894402208
"Sample","CRM",-0.12978566763736
"Sample","CRWD",-0.0251510014947715
"Sample","ORCL",-0.0556678651931881
"Sample","FTNT",0.0485538054135219
"Sample","IBM",0.145434598526358
"Sample","CSCO",-0.174273607502611
"Sample","AKAM",0.062978520122724
"Sample","SMCI",-0.00679478193310087
"Sample","APO",0.107042725940647
"Sample","CME",0.200596098402467
"Sample","CBOE",0.733692431489177
"Sample","V",-0.000683105934045786
"Sample","PYPL",-0.2382479404652
"Sample","FI",-0.12867012672083
"Sample","VRSK",-0.0321083164649992
"Sample","ROST",-0.0478359500857911
"Sample","ULTA",-0.128910833346961
"Sample","AZO",0.139026567875942
"Sample","CMG",0.112981562730779
"Sample","NKE",-0.198669705015603
"Sample","CROX",0.106684992462306
"Sample","LVS",0.0876668370637249
"Sample","TSLA",0.00753791418586246
"Sample","GM",-0.0451581834661934
"Sample","LYV",-0.034457033989929
"ConstantCorr","ETIHX",-0.104955461124365
"ConstantCorr","VHCIX",0.112379905597026
"ConstantCorr","CHGCY",-0.0861425358789781
"ConstantCorr","TAK",-0.301829639410574
"ConstantCorr","D",-0.193074698096363
"ConstantCorr","EIX",-0.0749225746961189
"ConstantCorr","AES",-0.118374675979028
"ConstantCorr","NRG",0.175288086807617
"ConstantCorr","AMD",0.0123371866621295
"ConstantCorr","AVGO",0.321132556219143
"ConstantCorr","TXN",-0.0983263673694142
"ConstantCorr","CRM",-0.109795189058007
"ConstantCorr","CRWD",0.0398776668287268
"ConstantCorr","ORCL",0.151186222542846
"ConstantCorr","FTNT",0.100975856288224
"ConstantCorr","IBM",0.28542094932007
"ConstantCorr","CSCO",0.175076228539848
"ConstantCorr","AKAM",-0.187840819260046
"ConstantCorr","SMCI",0.0534975403284026
"ConstantCorr","APO",0.1199799967463
"ConstantCorr","CME",0.321837837778465
"ConstantCorr","CBOE",0.809009074677813
"ConstantCorr","V",0.085127288362039
"ConstantCorr","PYPL",-0.260712990590456
"ConstantCorr","FI",-0.171755215146635
"ConstantCorr","VRSK",-0.104317820229274
"ConstantCorr","ROST",0.00339636545161366
